UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;factor;añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
13852;12;1;10;2;2024;1;81;1;48;1;1;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;8;8;0;8;8;0;0;3;12;40;13;0;0;4;13;0;0;1;1;1;30;2;1;42000000;5; ;42000000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;4;2;3;40;40;40;1;1;1;299;18;2;42000000;0;0;0;0;0;0;0;0;0;0;0;0;0
27889;20;1;10;2;2024;6;146;1;59;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;10;10;10;10;10;10;0;1; ; ;30;0;0;3;1;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;3;1;1;60;60;60;1;1;1;305;2; ;40149925,037;0;0;0;0;0;0;0;0;0;0;0;0;1590940,78
13852;30;1;10;1;2024;1;81;1;42;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;3;8;8;8;8;8;0;0;1; ; ;20;0;0;4;16;0;0;1;1;1;35;2;1;40000000;5; ;40000000;6; ; ; ; ;6; ; ; ; ;6; ; ;1;2000000;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;10;6; ; ;1;4;8;3;40;40;40;1;1;1;163;16;2;40000000;0;0;0;0;0;0;0;0;0;0;0;0;0
13852;37;1;10;1;2024;1;81;1;44;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;8;8;0;8;8;0;0;3;12;40;20;0;0;6;13;0;0;1;1;1;30;2;1;35000000;5; ;35000000;1;3200000;5;0; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;6;1;3;40;40;40;1;1;1;207;16;2;38200000;0;0;0;0;0;0;0;0;0;0;0;0;0
13534;4;1;10;1;2024;6;76;1;33;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;12;12;12;12;12;12;10;2; ;48;20;0;0;2;13;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;48;48;48;1;1;1;215;12; ;35520136,807;0;0;0;0;0;0;0;0;0;0;0;0;0
18860;10;1;10;2;2024;6;106;1;68;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;1;1;1;1;1;1;1; ; ;56;0;0;2;48;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;7;7;7;1;1;1;385;6; ;32624166,667;0;0;0;0;0;0;0;0;0;0;0;0;0
28303;11;1;10;2;2024;6;156;1;67;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;8;8;8;8;8;0;0;1; ; ;49;0;0;2;17;0;0;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;3;2;1;1;40;40;40;1;1;1;104;8; ;32010833,333;0;0;0;0;0;0;0;0;0;0;0;0;0
13859;17;1;10;2;2024;1;81;1;55;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;8;8;8;8;8;0;0;1; ; ;15;0;0;8;30;0;0;1;1;1;30;2;1;30000000;5; ;30000000;1;1500000;5;0; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;8;1;3;40;40;40;1;1;1;212;17;2;31618065,967;0;0;0;0;0;0;0;0;0;0;0;0;0
13859;16;1;10;2;2024;1;81;1;50;1;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;8;8;8;8;8;0;0;1; ; ;6;0;0;7;24;0;0;1;1;1;30;2;3;16500000;5; ;16500000;1;14500000;5;0; ;6; ; ; ; ;6; ; ;1;350000;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;7;1;3;40;40;40;1;1;1;273;18;2;31116191,904;0;0;0;0;0;0;0;0;0;0;0;0;0
3250;42;1;10;1;2024;6;26;2;72;2;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;6;6;6;6;6;0;0;1; ; ;60;0;0;2;50;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;6;1;30;30;30;1;1;1;354;0; ;30720966,079;0;0;0;0;501874,063;0;0;0;0;0;0;0;0
