UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;Factor;Añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
14;3;1;9;2;2024;1;1;2;40;1;1;2;6;6;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;5;11;11;11;11;11;0;0;1; ; ;13;0;0;4;4;0;0;1;1;2;12;2;4;3000000;5; ;3000000;6; ; ; ; ;1;10000;2;22;220000;6; ; ;1;100000;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;4;8;5;55;55;55;1;1;1;209;12;2;3220000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3;1;9;2;2024;1;1;6;38;2;6;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;7;8;8;8;8;8;8;8;1; ; ;0;4;0;7;0;4;0;6; ;2;88;88;4;2680373;5; ;2680373;6; ; ; ; ;1;1050000;5; ;1050000;6; ; ;1;105000;4; ; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;7;9;7;56;56;56;1;1;1;209;12;1;3730373;0;0;0;0;0;0;0;0;0;0;0;0;0
14;15;1;9;1;2024;1;1;1;78;1;1;1;6;30;6;6;6; ; ;6;6; ; ; ; ; ; ; ; ; ;1;7;4;4;2;5;0;0;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;138;6; ;0;0;0;0;0;750000;0;0;0;0;0;0;0;0
14;15;1;9;1;2024;1;1;2;77;2;6;1;6;30;6;6;6; ; ;6;6; ; ; ; ; ; ; ; ; ;1;7;2;4;1;15;0;0;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;138;12; ;0;0;0;0;0;750000;0;0;0;0;0;0;0;0
14;23;1;9;2;2024;1;1;1;32;1;1;1;6;2;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;10,3;10,3;10,3;10,3;10,3;5;0;1; ; ;0;1;0;8;2;0;0;6; ;2;12;1;4;3500000;5; ;3500000;1;2000000;5;4000000;6;6; ; ; ; ;6; ; ;6; ;2; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;8;5;5;58;58;58;1;1;1;401;13;1;5500000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;23;1;9;2;2024;1;1;2;30;2;6;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;7;9;9;9;9;9;0;0;1; ; ;4;0;0;8;10;0;0;1;1;2;30;2;4;4150000;5; ;4150000;1;0; ;4500000;6;6; ; ; ; ;6; ; ;6; ;1; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;2;1;11;2;8;3;7;45;45;45;1;1;1;401;13;2;4150000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;26;1;9;1;2024;1;1;1;31;1;1;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;2;8;8;8;8;8;8;0;1; ; ;7;0;0;7;7;0;0;1;1;2;18;1;4;3080000;5; ;3080000;1;220000;5;0; ;6; ; ; ; ;6; ; ;1;300000;1; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;7;8;2;48;48;48;1;1;1;642;12;2;3300000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;26;1;9;1;2024;1;1;2;33;9;1;5;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;8;8;8;8;8;8;0;0;1; ; ;7;0;0;8;7;0;0;6; ;1;18;2;4;4000000;5; ;4000000;1;0; ;5000000;6;6; ; ; ; ;6; ; ;1;80000;2; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;8;3;8;40;40;40;1;1;1;642;17;1;4000000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;33;1;9;1;2024;1;1;1;48;1;1;2;1; ;1; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;6;12;12;12;12;12;6;1; ; ;23;0;0;7;9;11;0;1;1;2;88;88;4;2425000;5; ;2425000;1;0; ;2680000;6;6; ; ; ; ;6; ; ;1;350000;3; ; ;1;2;1;1;9;6;0;6;20;2;6; ;2; ; ;1600000;5; ;1600000;6; ; ; ; ;4;6; ;6;0; ; ; ; ; ; ;6; ;2;6;11;2;7;5;4;72;92;92;1;1;1;347;3;2;2425000;1600000;0;0;0;0;0;0;0;0;0;0;0;0
14;33;1;9;1;2024;1;1;2;41;2;6;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;7;8;8;8;8;8;8;0;1; ; ;5;0;0;2;4;0;0;6; ;2;88;1;4;2680000;5; ;2680000;1;0; ;2680000;6;6; ; ; ; ;6; ; ;6; ;4; ; ;2;5;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;2;6;11;2;2;9;7;48;48;48;1;1;1;347;5;1;2680000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;37;1;9;2;2024;1;1;1;78;1;1;4;1; ;6;6;6; ; ;6;10; ; ; ; ; ; ; ; ; ;1;3;8;4;1;20;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;369;9; ;0;0;0;2300000;0;0;0;0;0;1600000;0;0;0;0
14;37;1;9;2;2024;1;1;3;30;3;6;3;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;7;8;8;8;8;8;0;0;1; ; ;5;0;0;7;5;0;0;1;1;2;12;2;4;2500000;5; ;2500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ;1;4;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;7;3;7;40;40;40;1;1;1;369;16;2;2500000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;37;1;9;2;2024;1;1;4;2;5;6;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;369; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;37;1;9;2;2024;1;1;5;6;5;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;369;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;40;1;9;2;2024;1;1;1;59;1;6;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;10;10;10;10;10;10;10;1; ; ;25;0;0;2;25;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;4;2;5;5;70;70;70;1;1;1;224;9;2;3800000;0;0;0;0;0;0;0;0;0;0;0;0;0
14;40;1;9;2;2024;1;1;2;36;3;6;5;6;1;6;6;6; ; ;1; ; ;1; ; ; ;4;0;0;2;1;5;5;2;4;2;0;0;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;5;5; ; ; ;2;2;2;224;12; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;40;1;9;2;2024;1;1;3;16;5;6;5;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;3;4;2;3;2;3;4;1; ; ;1;0;0;2;1;0;0;6; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;5;2;5;5;21;21;21;1;1;1;224;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;40;1;9;2;2024;1;1;4;13;5;1;5;6;1;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;224;6; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
