UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;factor;Añoest;Informalidad;E01AIMDE;E01BIMDE;E01CIMDE;E01DDE;E01EDE;E01FDE;E01GDE;E01HDE;E01IDE;E01JDE;E01KDE;E01LDE;E01MDE;E01KJDE
30;31;1;12;2;2024;1;1;1;44;1;6;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;8;6;6;0;0;6;6;0;1; ; ;13;0;0;7;12;0;0;1;2;1;30;3;4;3800000;5; ;3800000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;7;5;8;24;24;24;1;1;1;415;12;2;3791479,821;0;0;0;0;0;0;0;0;0;0;0;0;0
30;31;1;12;2;2024;1;1;2;51;2;1;2;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;6;6;6;6;6;0;0;1; ; ;5;0;0;11;5;0;0;6; ;1;18;2;4;3400000;5; ;3400000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;1;11;9;8;30;30;30;1;1;1;415;12;1;3392376,682;0;0;0;0;0;0;0;0;0;0;0;0;0
30;31;1;12;2;2024;1;1;3;15;3;6;5;6;1;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;415;9; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;33;1;12;2;2024;1;1;1;21;1;6;5;6;3;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;5;7;7;7;7;7;5;0;1; ; ;0;5;0;2;0;5;0;6; ;2;88;1;4;100000;2;24;2400000;6; ; ; ; ;1;15000;2;24;360000;6; ; ;6; ;4; ; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;20;1; ;11;2;2;9;5;40;40;40;1;1;1;646;12;1;2753811,659;0;0;0;0;1197309,417;0;0;0;0;0;0;0;0
30;33;1;12;2;2024;1;1;2;20;9;1;5;6;3;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;8;9;9;9;9;9;6;0;1; ; ;5;0;0;11;5;0;0;1;1;2;12;1;4;1500000;5; ;1500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;5;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;11;4;8;51;51;51;1;1;1;646;12;2;1496636,771;0;0;0;0;0;0;0;0;0;0;0;0;0
30;33;1;12;2;2024;1;1;3;17;9;1;5;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;5;8;8;8;8;8;0;0;1; ; ;0;2;0;2;0;2;0;6; ;2;88;2;4;100000;2;20;2000000;6; ; ; ; ;1;15000;2;20;300000;6; ; ;6; ;4; ; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;20;1; ;11;2;2;9;5;40;40;40;1;1;1;646;11;1;2294843,049;0;0;0;0;299327,354;0;0;0;0;0;0;0;0
30;42;1;12;1;2024;1;1;1;42;1;6;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;6;5;5;5;5;5;5;0;1; ; ;2;0;0;1;2;0;0;6; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;6; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;1;4;1;8;6;30;30;30;1;1;1;417;13;1;2993273,543;0;0;0;0;0;0;0;0;0;0;0;0;0
30;42;1;12;1;2024;1;1;2;41;2;1;1;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;8;8;8;8;8;8;0;0;1; ; ;20;0;0;7;20;0;0;1;1;2;30;2;4;2546000;5; ;2546000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;1; ; ;1;5;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;1;2;7;6;8;40;40;40;1;1;1;417;11;2;2540291,48;0;0;0;0;0;0;0;0;0;0;0;0;0
30;42;1;12;1;2024;1;1;3;21;3;1;5;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;7;8;8;8;8;8;0;0;1; ; ;0;2;0;2;0;2;0;6; ;2;88;2;4;2500000;5; ;2500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;2; ; ;1;5;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;1;2;2;3;7;40;40;40;1;1;1;417;12;1;2494394,619;0;0;0;0;0;0;0;0;0;0;0;0;0
30;42;1;12;1;2024;1;1;4;15;3;1;5;6;1;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;417;8; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
