trimestre,area,porcentaje
1,Urbana,70.92679989757761
1,Rural,29.073200102422387
2,Urbana,71.03804850578558
2,Rural,28.96195149421443
3,Urbana,71.14367105076947
3,Rural,28.856328949230537
4,Urbana,71.25137604763148
4,Rural,28.74862395236853
